Date,Singapore,United Kingdom,United States
1/6/21,18,3102,22119
2/6/21,31,4264,16925
3/6/21,45,5181,19191
4/6/21,13,6144,16911
5/6/21,18,5655,14335
6/6/21,20,5225,5674
7/6/21,14,5597,15109
8/6/21,9,5973,12832
9/6/21,4,7322,18904
10/6/21,13,7239,14424
11/6/21,9,7960,24730
12/6/21,18,7552,8688
13/6/21,13,7334,5157
14/6/21,25,7621,12364
15/6/21,14,7594,10830
16/6/21,24,8811,12555
17/6/21,27,10823,10621
18/6/21,16,10287,21201
19/6/21,21,10076,8489
20/6/21,11,9077,4456
21/6/21,16,10468,11673
22/6/21,18,11507,10725
23/6/21,22,15943,13001
24/6/21,23,16705,13777
25/6/21,20,15374,24265
26/6/21,17,17946,8644
27/6/21,14,14633,4251
28/6/21,9,22723,14576
29/6/21,10,20261,6690
30/6/21,16,25670,16254
1/7/21,10,27646,14439
2/7/21,10,26863,29422
3/7/21,7,24465,4626
4/7/21,11,23896,3757
5/7/21,13,27106,8628
6/7/21,10,28629,23041
7/7/21,12,32061,22953
8/7/21,16,32096,19122
9/7/21,10,35885,47630
10/7/21,6,31835,8299
11/7/21,8,31382,10796
12/7/21,26,34810,33648
13/7/21,26,36500,26234
14/7/21,60,42183,32742
15/7/21,48,48641,29983
16/7/21,61,51949,77891
17/7/21,68,54183,11718
18/7/21,92,47848,19245
19/7/21,172,40671,51080
20/7/21,195,46688,41761
21/7/21,181,44081,50391
22/7/21,170,40029,54734
23/7/21,133,36093,120387
24/7/21,130,31624,25014
25/7/21,125,28937,24114
26/7/21,135,24932,86955
27/7/21,139,23401,68414
28/7/21,136,25713,69088
29/7/21,133,30871,79524
30/7/21,139,29323,189136
31/7/21,120,25782,32294
1/8/21,121,24173,41453
2/8/21,111,22287,120722
3/8/21,102,21855,102751
4/8/21,95,29151,96845
5/8/21,98,30009,110664
6/8/21,97,31633,255081
7/8/21,81,28344,48748
8/8/21,78,27244,26563
9/8/21,72,25056,181218
10/8/21,0,23469,120969
11/8/21,117,29381,156039
12/8/21,59,32885,141976
13/8/21,49,32539,229752
14/8/21,58,29226,48899
15/8/21,53,26484,41727
16/8/21,53,28358,220065
17/8/21,56,26709,152131
18/8/21,53,33758,158638
19/8/21,32,36533,157071
20/8/21,40,37128,245623
21/8/21,37,31886,65934
22/8/21,35,32034,35971
23/8/21,98,31856,238019
24/8/21,116,30762,156692
25/8/21,120,35618,169696
26/8/21,116,38117,184441
27/8/21,0,37854,243011
28/8/21,243,32142,60613
29/8/21,0,32992,42120
30/8/21,288,26285,259960
31/8/21,161,32167,170852
1/9/21,180,35577,201952
2/9/21,191,37982,175825
3/9/21,219,42355,234848
4/9/21,259,36725,64444
5/9/21,191,36545,40288
6/9/21,241,40976,75182
7/9/21,332,37535,277028
8/9/21,349,38579,182223
9/9/21,457,37570,159804
10/9/21,573,37012,227797
11/9/21,555,28899,64255
12/9/21,520,28641,35859
13/9/21,607,30416,260755
14/9/21,837,26763,145028
15/9/21,807,29901,171267
16/9/21,910,26619,154930
17/9/21,935,32566,208072
18/9/21,1009,29476,56759
19/9/21,1012,29298,36333
20/9/21,917,35943,201777
21/9/21,1178,31188,121236
22/9/21,1457,33829,132420
23/9/21,1504,35847,125838
24/9/21,1650,35716,177452
25/9/21,1443,29976,47532
26/9/21,1939,33068,30958
27/9/21,1647,37583,185016
28/9/21,2236,34847,109605
29/9/21,2268,35266,123267
30/9/21,2478,35833,110594
1/10/21,2909,34684,158284
