Date,Singapore,United Kingdom,United States
1/1/2020,0,0,0
2/1/2020,0,0,0
3/1/2020,0,0,0
4/1/2020,0,0,0
5/1/2020,0,0,0
6/1/2020,0,0,0
7/1/2020,0,0,0
8/1/2020,0,0,0
9/1/2020,0,0,0
10/1/2020,0,0,0
11/1/2020,0,0,0
12/1/2020,0,0,0
13/1/2020,0,0,0
14/1/2020,0,0,0
15/1/2020,0,0,0
16/1/2020,0,0,0
17/1/2020,0,0,0
18/1/2020,0,0,0
19/1/2020,0,0,0
20/1/2020,0,0,0
21/1/2020,0,0,0
22/1/2020,0,0,0
23/1/2020,1,0,0
24/1/2020,2,0,1
25/1/2020,0,0,0
26/1/2020,1,0,3
27/1/2020,1,0,0
28/1/2020,2,0,0
29/1/2020,0,0,1
30/1/2020,3,0,0
31/1/2020,3,2,2
1/2/2020,3,0,0
2/2/2020,2,0,0
3/2/2020,0,6,3
4/2/2020,6,0,0
5/2/2020,4,1,0
6/2/2020,0,0,1
7/2/2020,2,0,0
8/2/2020,3,4,0
9/2/2020,7,1,0
10/2/2020,5,0,0
11/2/2020,2,1,1
12/2/2020,3,1,0
13/2/2020,8,1,1
14/2/2020,9,1,0
15/2/2020,5,0,0
16/2/2020,3,0,0
17/2/2020,2,1,0
18/2/2020,4,0,0
19/2/2020,3,1,0
20/2/2020,0,2,0
21/2/2020,1,1,2
22/2/2020,0,0,0
23/2/2020,4,5,0
24/2/2020,0,2,0
25/2/2020,2,4,0
26/2/2020,2,3,0
27/2/2020,0,7,1
28/2/2020,0,12,0
29/2/2020,9,5,8
1/3/2020,4,33,7
2/3/2020,2,40,23
3/3/2020,2,55,19
4/3/2020,0,57,33
5/3/2020,7,49,77
6/3/2020,13,79,53
7/3/2020,8,55,166
8/3/2020,12,54,116
9/3/2020,0,147,75
10/3/2020,10,259,188
11/3/2020,18,412,365
12/3/2020,0,489,439
13/3/2020,22,480,633
14/3/2020,12,364,759
15/3/2020,14,443,234
16/3/2020,17,615,1467
17/3/2020,23,770,1833
18/3/2020,47,1006,2657
19/3/2020,32,1066,4494
20/3/2020,40,1258,6367
21/3/2020,47,1215,5995
22/3/2020,23,1388,8873
23/3/2020,54,2349,11238
24/3/2020,49,2382,10619
25/3/2020,73,2717,12082
26/3/2020,52,3127,17856
27/3/2020,49,3249,18690
28/3/2020,70,2843,19630
29/3/2020,42,2892,18899
30/3/2020,35,4327,22075
31/3/2020,47,4534,26314
1/4/2020,74,4974,32286
2/4/2020,49,4929,32222
3/4/2020,65,4981,32307
4/4/2020,75,4073,32386
5/4/2020,120,3650,29895
6/4/2020,66,5316,31390
7/4/2020,106,5486,30779
8/4/2020,142,5163,31235
9/4/2020,287,4906,35942
10/4/2020,198,4367,34403
11/4/2020,191,3613,29083
12/4/2020,233,3539,27256
13/4/2020,386,4205,26939
14/4/2020,334,4348,28818
15/4/2020,447,5100,25408
16/4/2020,728,5343,30002
17/4/2020,623,4990,33066
18/4/2020,942,4736,27907
19/4/2020,596,3860,26062
20/4/2020,1426,4866,29820
21/4/2020,1111,4775,25926
22/4/2020,1016,5505,28911
23/4/2020,1037,5168,33612
24/4/2020,897,4981,32327
25/4/2020,618,3764,30380
26/4/2020,931,3473,26488
27/4/2020,799,4704,23715
28/4/2020,528,4727,24575
29/4/2020,690,5450,26459
30/4/2020,528,4964,29205
1/5/2020,932,4730,34907
2/5/2020,447,3230,27348
3/5/2020,657,2977,24321
4/5/2020,573,3383,24068
5/5/2020,632,3689,24528
6/5/2020,788,3836,24569
7/5/2020,741,3771,27429
8/5/2020,768,3052,26830
9/5/2020,753,2150,25176
10/5/2020,876,2322,18805
11/5/2020,486,3589,19298
12/5/2020,849,3395,22927
13/5/2020,675,3300,20433
14/5/2020,752,2618,26817
15/5/2020,793,2521,24733
16/5/2020,465,2072,24135
17/5/2020,682,1826,18388
18/5/2020,305,2577,22389
19/5/2020,451,3058,20979
20/5/2020,570,2712,22725
21/5/2020,448,2554,25769
22/5/2020,614,2041,23649
23/5/2020,642,1508,21099
24/5/2020,548,1355,20077
25/5/2020,344,1613,18662
26/5/2020,383,1659,19663
27/5/2020,533,1809,18551
28/5/2020,373,1736,22320
29/5/2020,611,1508,24478
30/5/2020,506,1107,23632
31/5/2020,518,1070,18983
1/6/2020,408,1444,17414
2/6/2020,544,1470,21502
3/6/2020,569,1349,19857
4/6/2020,517,1238,21658
5/6/2020,261,1110,25403
6/6/2020,344,794,21142
7/6/2020,383,718,17928
8/6/2020,386,1094,17616
9/6/2020,218,1159,18383
10/6/2020,451,1186,21111
11/6/2020,422,1007,23166
12/6/2020,463,1054,24828
13/6/2020,347,888,25212
14/6/2020,407,807,18941
15/6/2020,214,1031,19827
16/6/2020,151,1083,23667
17/6/2020,247,999,27072
18/6/2020,257,1020,28537
19/6/2020,142,984,31544
20/6/2020,218,666,32280
21/6/2020,262,624,25150
22/6/2020,218,892,32144
