unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,0,0,0,0
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,5.21,5.95,0,5.56
3.9,13.02,14.88,0,8.33
3.9,13.02,14.88,0,8.33
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,14.58,16.67,0,11.11
3.9,8.33,9.52,0,11.11
3.9,9.38,10.71,0,12.96
3.9,9.38,10.71,0,12.96
3.9,9.38,10.71,0,12.96
3.9,11.46,13.1,25,16.67
3.9,17.71,16.67,25,22.22
3.9,22.92,22.62,50,31.48
3.9,26.04,22.62,87.5,31.48
3.9,33.85,26.19,87.5,37.04
3.9,39.58,32.74,87.5,47.22
3.9,47.92,42.26,87.5,62.04
3.9,63.28,59.82,87.5,78.24
3.9,64.06,60.71,87.5,79.63
3.9,64.06,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,65.62,60.71,100,79.63
3.9,66.41,61.61,100,79.63
3.9,66.41,61.61,100,79.63
3.9,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,66.41,61.61,100,79.63
3.8,65.36,60.42,100,77.78
3.8,65.36,60.42,100,77.78
3.8,61.72,56.25,100,71.3
3.8,61.72,56.25,100,71.3
3.8,61.72,56.25,100,71.3
3.8,61.72,56.25,100,71.3
3.8,61.72,56.25,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,63.8,58.63,100,71.3
3.8,66.93,62.2,100,71.3
3.8,66.93,62.2,100,71.3
3.8,65.89,61.01,100,69.44
3.8,65.89,61.01,100,69.44
3.8,65.89,61.01,100,69.44
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,67.97,63.39,100,67.59
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,71.09,66.96,100,73.15
4,70.05,65.77,100,71.3
4,70.05,65.77,100,71.3
4,70.05,65.77,100,71.3
4,70.05,65.77,100,71.3
4,70.05,65.77,100,71.3
4,70.05,65.77,100,71.3
