Date,Singapore GRI,United Kingdom GRI,United States GRI,Singapore CHI,United Kingdom CHI,United States CHI,Singapore ESI,United Kingdom ESI,United States ESI,Singapore SI,United Kingdom SI,United States SI
1/1/2020,3.12,0,0,3.57,0,0,0,0,0,5.56,0,0
2/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
3/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
4/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
5/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
6/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
7/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
8/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
9/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
10/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
11/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
12/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
13/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
14/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
15/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
16/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
17/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
18/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
19/1/2020,13.02,0,0,14.88,0,0,0,0,0,19.44,0,0
20/1/2020,19.27,5.21,0,22.02,5.95,0,0,0,0,19.44,5.56,0
21/1/2020,19.27,5.21,3.12,22.02,5.95,3.57,0,0,0,19.44,5.56,0
22/1/2020,19.27,5.21,3.12,22.02,5.95,3.57,0,0,0,19.44,5.56,0
23/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
24/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
25/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
26/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
27/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
28/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
29/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
30/1/2020,24.48,5.21,3.12,27.98,5.95,3.57,0,0,0,25,5.56,0
31/1/2020,24.48,13.02,3.12,27.98,14.88,3.57,0,0,0,25,8.33,0
1/2/2020,24.48,13.02,3.12,27.98,14.88,3.57,0,0,0,25,8.33,0
2/2/2020,24.48,14.58,6.25,27.98,16.67,7.14,0,0,0,25,11.11,5.56
3/2/2020,24.48,14.58,6.25,27.98,16.67,7.14,0,0,0,25,11.11,5.56
4/2/2020,28.65,14.58,6.25,32.74,16.67,7.14,0,0,0,25,11.11,5.56
5/2/2020,28.65,14.58,6.25,32.74,16.67,7.14,0,0,0,25,11.11,5.56
6/2/2020,28.65,14.58,8.33,32.74,16.67,9.52,0,0,0,25,11.11,5.56
7/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
8/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
9/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
10/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
11/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
12/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
13/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
14/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
15/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
16/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
17/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
18/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
19/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
20/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
21/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
22/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
23/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
24/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
25/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
26/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
27/2/2020,31.77,14.58,8.33,36.31,16.67,9.52,0,0,0,30.56,11.11,5.56
28/2/2020,31.77,14.58,10.42,36.31,16.67,11.9,0,0,0,30.56,11.11,5.56
29/2/2020,31.77,14.58,10.42,36.31,16.67,11.9,0,0,0,30.56,11.11,5.56
1/3/2020,31.77,14.58,11.98,36.31,16.67,13.69,0,0,0,30.56,11.11,8.33
2/3/2020,31.77,14.58,13.54,36.31,16.67,15.48,0,0,0,30.56,11.11,11.11
3/3/2020,31.77,14.58,13.54,36.31,16.67,15.48,0,0,0,30.56,11.11,11.11
4/3/2020,31.77,14.58,15.62,36.31,16.67,17.86,0,0,0,30.56,11.11,11.11
5/3/2020,31.77,14.58,20.83,36.31,16.67,23.81,0,0,0,30.56,11.11,20.37
