unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
2.4,3.12,3.57,0,5.56
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,13.02,14.88,0,19.44
2.4,19.27,22.02,0,19.44
2.4,19.27,22.02,0,19.44
2.4,19.27,22.02,0,19.44
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,24.48,27.98,0,25
2.4,28.65,32.74,0,25
2.4,28.65,32.74,0,25
2.4,28.65,32.74,0,25
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,31.77,36.31,0,30.56
2.4,34.9,39.88,0,36.11
2.4,34.9,39.88,0,36.11
2.4,34.9,39.88,0,36.11
2.4,34.9,39.88,0,36.11
2.4,34.9,39.88,0,36.11
