unemployment_rate,government_response_index,containment_health_index,economic_support_index,stringency_index
2.4,16.63258065,19.00935484,0,20.60645161
2.4,30.69310345,35.07896552,0,29.40965517
2.4,33.6883871,38.49806452,0,33.9616129
2.6,65.399,68.55433333,43.33333333,69.81366667
2.8,74.88290323,74.17322581,79.83870968,74.64225806
2.8,68.57866667,64.08666667,100,60.43333333
3.2,62.08064516,56.66516129,100,51.10903226
3.4,62.28193548,56.89548387,100,51.46709677
3.5,62.188,56.788,100,51.3
3.5,59.05193548,53.21032258,100,45.72870968
3.4,58.95433333,53.099,100,45.55533333
3.3,61.21806452,55.68258065,100,48.23967742
3.2,64.10258065,58.9783871,100,48.41903226
3,66.56,61.79,100,50.93
2.9,67.20516129,62.52548387,100,50.93
2.9,69.06,64.64,100,50.93
2.8,71.31193548,67.21193548,100,54.9283871
2.7,75.658,72.18,100,57.96
2.8,72.73548387,68.83387097,100,51.52677419
2.7,70.91677419,66.76096774,100,48.29709677
2.6,70.58866667,66.38733333,100,47.71466667
2.5,72.4,68.45,100,50.93
