unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,0,0,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,3.12,3.57,0,0
3.5,6.25,7.14,0,5.56
3.5,6.25,7.14,0,5.56
3.5,6.25,7.14,0,5.56
3.5,6.25,7.14,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,8.33,9.52,0,5.56
3.5,10.42,11.9,0,5.56
3.5,10.42,11.9,0,5.56
4.4,11.98,13.69,0,8.33
4.4,13.54,15.48,0,11.11
4.4,13.54,15.48,0,11.11
4.4,15.62,17.86,0,11.11
4.4,20.83,23.81,0,20.37
4.4,20.83,23.81,0,20.37
4.4,20.83,23.81,0,20.37
4.4,20.83,23.81,0,20.37
4.4,20.83,23.81,0,20.37
4.4,21.61,24.7,0,20.37
4.4,22.4,25.6,0,21.76
4.4,27.08,30.95,0,30.09
4.4,29.17,33.33,0,30.09
4.4,34.38,39.29,0,35.65
4.4,37.5,42.86,0,41.2
4.4,43.75,50,0,52.31
4.4,45.31,51.79,0,55.09
4.4,45.31,51.79,0,55.09
4.4,52.08,59.52,0,67.13
4.4,52.08,59.52,0,67.13
4.4,55.21,63.1,0,72.69
4.4,55.21,63.1,0,72.69
4.4,55.21,63.1,0,72.69
4.4,55.21,63.1,0,72.69
4.4,55.21,63.1,0,72.69
4.4,55.21,63.1,0,72.69
4.4,63.02,63.1,62.5,72.69
4.4,63.02,63.1,62.5,72.69
4.4,63.02,63.1,62.5,72.69
4.4,63.02,63.1,62.5,72.69
4.4,63.02,63.1,62.5,72.69
14.8,63.02,63.1,62.5,72.69
14.8,63.02,63.1,62.5,72.69
14.8,63.02,63.1,62.5,72.69
14.8,64.58,64.88,62.5,72.69
14.8,64.58,64.88,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
14.8,66.15,66.67,62.5,72.69
