unemployment_rate,government_response_index,containment_health_index,economic_support_index,stringency_index
3.5,1.107096774,1.266774194,0,0
3.5,8.007586207,9.150689655,0,5.368275862
4.4,39.22129032,43.38741935,10.08064516,45.77451613
14.8,65.73233333,66.19366667,62.5,72.69
13.3,66.15,66.67,62.5,72.69
11.1,65.03533333,65.40066667,62.5,70.71133333
10.2,65.21741935,65.60935484,62.5,68.26387097
8.4,64.58,64.88,62.5,67.13
7.8,62.93333333,62.99266667,62.5,64.19766667
6.9,62.85225806,62.90225806,62.5,64.0516129
6.7,65.989,66.48766667,62.5,69.62866667
6.7,67.98290323,68.76709677,62.5,71.87935484
6.3,68.44,69.29,62.5,71.76
6.2,66.58857143,67.17285714,62.5,68.32428571
6,65.16387097,65.54419355,62.5,63.57354839
6.1,63.1,63.192,62.5,56.94
5.8,60.18870968,61.18290323,53.22580645,51.89354839
5.9,59.705,61.09133333,50,54.506
5.4,59.97612903,61.40709677,50,52.25645161
5.2,59.22612903,60.76967742,48.38709677,54.25806452
4.8,60.00133333,64.528,28.33333333,60.09
4.4,60.42,65.48,25,61.57
